MOVIE_ID,TITLE,DATE_PREMIERE,GENRE
1,"Ut suscipit et eligendi eius.",1994-08-06,FANTASY
2,"Eos quo rerum deserunt praesentium.",1968-09-25,ACTION
3,"Dolorum architecto consequatur non a ut est similique.",2002-06-19,ROMANTIC
4,"Qui qui labore id placeat eveniet alias et.",1954-11-21,ROMANTIC
5,"Facere fuga magnam dolore fuga.",2014-08-04,MORAL
6,"Et dolorem tenetur ipsam ea ea eius reiciendis.",1974-05-08,EROTIC
7,"Earum autem similique nulla eum.",1982-10-15,COMEDY
8,"Est delectus sit adipisci culpa necessitatibus fuga.",2004-06-14,THRILLER
9,"Non blanditiis minima totam nihil.",2012-01-19,EROTIC
10,"Qui eius hic.",2013-04-01,CRIMINAL
11,"Ea quis dolorem autem.",1982-08-09,MORAL
12,"Quae assumenda est.",1986-04-17,ADVENTURE
13,"Ipsa iure ad.",1972-07-03,ACTION
14,"Repellat ut dolorem.",1958-08-14,SCIFI
15,"Ut est fugit minima doloribus non.",2006-03-26,MUSICAL
16,"Tempora qui in tempora hic.",1959-05-18,COMEDY
17,"Aperiam culpa natus consequatur tempora ipsa adipisci dolores.",1956-04-20,COMEDY
18,"Quia pariatur aliquid fugiat.",1970-11-28,WESTERN
19,"Nihil nostrum in dolorem dolore iusto ipsa.",1983-03-26,CATASTROPHIC
20,"Asperiores quia aut nobis quia aspernatur.",2014-04-22,PSYCHOLOGICAL
21,"Neque adipisci dolorem itaque exercitationem aut.",1988-03-27,WESTERN
22,"Dicta molestias ipsam qui a molestiae expedita ut.",1967-07-02,COMEDY
23,"Facilis iusto rerum dolorem.",1997-11-08,COMEDY
24,"Magnam eaque ut dolores ducimus aut.",1968-06-01,CATASTROPHIC
25,"Est culpa possimus hic consequatur quaerat.",1966-09-21,FANTASY
26,"Eligendi velit ut.",1988-03-11,DRAMA
27,"Vero eveniet numquam inventore.",1974-09-26,ROMANTIC
28,"Aspernatur autem libero.",1989-09-21,COMEDY
29,"A adipisci facere est consectetur deleniti omnis harum.",1993-06-23,EROTIC
30,"Quos et aut vitae tempora.",1958-02-08,MORAL
31,"Enim odio architecto exercitationem similique totam quaerat quae.",2012-09-12,MORAL
32,"Voluptates ut eveniet recusandae ex eos.",2011-05-23,DOCUMENT
33,"Qui et similique quis consequatur.",1998-12-27,FAMILY
34,"Enim voluptate amet aliquid.",1956-11-05,WESTERN
35,"Natus et quo.",2014-12-23,GORE
36,"Iusto eaque earum nihil soluta.",1964-06-03,MUSICAL
37,"Distinctio voluptatem optio numquam iste id nihil.",1989-04-13,DRAMA
38,"Magni cumque hic nam nisi.",1983-03-13,DOCUMENT
39,"Quia quidem sapiente tempore pariatur quia dolore.",2004-02-05,FANTASY
40,"Sunt ab alias expedita soluta.",2011-07-11,SCIFI
41,"Voluptas libero qui velit commodi.",2011-02-03,MUSICAL
42,"Enim sed laboriosam inventore doloremque eaque error.",1989-05-19,CATASTROPHIC
43,"Exercitationem quibusdam fugiat.",1956-03-02,EROTIC
44,"Ducimus vero voluptate illum.",1962-06-08,ROMANS
45,"Eos quis id commodi quasi omnis quia non.",2000-05-20,MORAL
46,"Sed dolorem corrupti quasi repudiandae ipsam assumenda aut.",2016-10-14,THRILLER
47,"Voluptas assumenda et pariatur quia velit rem in.",1959-10-08,COMEDY
48,"Sed voluptas vel qui aut et.",2012-02-09,FAMILY
49,"Repellat veritatis architecto magni perspiciatis commodi hic molestiae.",2002-11-14,ROMANS
50,"Dolorum eos sit at inventore ipsa.",1962-04-27,THRILLER
51,"Consequatur ipsam voluptas itaque deserunt hic.",2008-08-13,DOCUMENT
52,"Nihil quia aut rerum voluptate aut veniam facilis.",1955-06-06,COMEDY
53,"Voluptatibus consequatur quam et.",1953-06-25,EROTIC
54,"Quia quo ut nobis.",1962-02-06,MUSICAL
55,"Ad libero provident.",2001-05-22,ACTION
56,"Et et qui.",2013-06-02,COMEDY
57,"A dolor quo velit maxime cupiditate sunt.",1970-02-21,ROMANTIC
58,"Distinctio natus a cupiditate vitae.",2007-10-06,EROTIC
59,"Esse voluptatem quas.",2003-11-16,BIOGRAPHY
60,"Blanditiis voluptas et.",1967-03-06,THRILLER
61,"Voluptas dolore laboriosam ipsa.",1972-12-01,MUSICAL
62,"Eum praesentium tenetur molestiae vel iusto.",2010-05-09,THRILLER
63,"Quis tenetur deleniti reprehenderit.",2019-05-17,COMEDY
64,"Unde quia fugit dolorem unde.",1958-05-10,DOCUMENT
65,"Libero sint distinctio vel ut repellendus maiores quam.",1967-08-24,ACTION
66,"Et ea laudantium earum.",2002-03-18,WESTERN
67,"Odit qui officia sed et repellendus id laudantium.",1997-06-25,COMEDY
68,"Aliquid vitae delectus iusto ut sunt.",1989-02-10,MORAL
69,"Officiis dolores ut eum rem mollitia ut.",1956-03-19,DOCUMENT
70,"Culpa animi et quo.",1976-02-24,SCIFI
